Year_x,College Code_x,College Name_x,Branch Code_x,Branch Name_x,OC_x,BC_x,BCM_x,MBC_x,SC_x,SCA_x,ST_x,OCRank_x,BCRank_x,BCMRank_x,MBCRank_x,SCRank_x,SCARank_x,STRank_x,Year_y,College Code_y,College Name_y,Branch Code_y,Branch Name_y,OC_y,BC_y,BCM_y,MBC_y,SC_y,SCA_y,ST_y,OCRank_y,BCRank_y,BCMRank_y,MBCRank_y,SCRank_y,SCARank_y,STRank_y
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,1,196.25,195.25,193.25,194.25,188.75,185.75,175.25,5009,6784,10428,8371,19210,24359,41685,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,1,194.75,192.25,191,189.5,184.5,164.5,168.75,4125,7203,8691,11099,17541,39651,35117
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,2,198.25,197.5,197.25,196.5,193,191.75,188,1509,2804,3241,4467,10650,13387,20615,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,2,196.75,195.25,195,194,190.5,186.75,181.25,1886,3340,3663,4983,9306,14794,21403
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,3,198.5,198,197.5,197.5,196,193.5,196,1360,2036,2661,2589,5482,10152,5468,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,3,196.75,196,196.25,195.25,191.5,189.5,176,1781,2593,2271,3405,7952,10906,27452
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,4,192.25,190.5,190.5,188.75,179.5,173,161,12198,15799,15753,19281,34682,45308,63309,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,4,185.5,175.75,173,173,157.5,164.25,158.5,16349,27920,30746,30655,46599,39789,45554
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,5,199.75,199.5,199.5,199,197.5,196.25,193.75,73,174,187,645,2528,4898,9550,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,5,199.5,199.25,198.75,198.25,195.5,195.25,190.75,92,166,294,632,3100,3356,9271
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,6,199,198.75,199,197.75,193.5,190.5,193.33,603,949,806,2341,10132,15465,10186,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,6,198.5,198,197.5,196.75,188.25,183.5,182.25,409,754,1151,1883,12899,18914,20191
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,7,199.25,199,198.5,198.75,196.5,197,193.25,328,663,1374,961,4297,3510,10508,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,7,198.25,197.5,196.75,197.25,194.75,191.25,173.75,587,1110.5,1861,1319,4082,8315,30111
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,8,199.25,199,198,198.5,195.5,194.5,189,458,677,1904,1342,6436,8060,18532,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,8,198.25,197.75,195.25,196.5,190.5,180.25,172.75,636,996,3447,2161,9525,22675,31157
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,9,200,199.75,199.75,199.25,198.25,197,190.25,48,160,150,403,1600,3297,15907,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,9,199.33,198.75,198.25,198.5,195.75,193.25,187.25,103,302.5,547,432,2892,5878,14073
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,10,196.75,196,194,194.75,188.75,186.25,134905,3887,5279,9184,7438,19199,23332,100000,2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,10,194,192.75,191.75,190.25,180,141,134905,5051,6533,7703,9892,22914,62312,134905
